"Designator","Footprint","Quantity","Value","LCSC Part #"
"C101, C104, C107, C108, C114, C115, C201, C207, C223, C224, C225","C_0402_1005Metric",11,"100n","C1525"
"C102, C105, C210, C211, C212","C_1206_3216Metric",5,"10u 35V","C13585"
"C103, C106, C203","C_0402_1005Metric",3,"100n 35V","C307331"
"C109, C110, C112, C113 ","C_0402_1005Metric",4,"22n 35V","C337699 "
"C202","C_0805_2012Metric",1,"10u 35V 0805","C440198"
"C111, C204, C205, C206, C219, C220, C221, C222 ","C_0805_2012Metric",8,"22u","C45783"
"C208, C209","CP_Elec_6.3x7.7",2,"100u 35V","C125975"
"D101, D102, D103, D104","LED_0603_1608Metric",4,"0603_LED_Red","C72038"
"D201, ","D_SOD-323",1,"10V","C85383"
"D202, ","LED_0603_1608Metric",1,"0603_LED_Green","C72043 "
"FID101, FID102, FID103, ","Toolinghole",3,"Toolinghole_jlc",
"FID104, FID105, FID106, ","Fiducial",3,"Fiducial",
"J105, ","PinHeader_2x04_P2.54mm_Vertical_SMD",1,"Conn_02x04_smd","C3294462"
"J107","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",1,"STEMMA QT","C160404"
"L201, ","L_SMD",1,"56uH","C2962890"
"Q101, Q102, ","SOT-23",2,"AO3400A","C20917"
"Q201, ","TO-252-2",1,"AOD4185","C400894"
"R101, R102, R105, R106, R107, R108, R113, R204, R205, R207, R208","R_1005_(0402)",11,"47k","C163440"
"R109, R110","R_1005_(0402)",2,"1k43","C226851"
"R111, R112","R_1005_(0402)",2,"732R","C137939"
"R114, R201, R203","R_1005_(0402)",3,"470k","C137865"
"R202","R_1005_(0402)",1,"20R","C138031"
"R206","R_1005_(0402)",1,"5k76","C185405"
"SW101","SW_SPST_TS-1088-AR02016",1,"Switch","C720477"
"U101, ","SO-14_3.9x8.65mm_P1.27mm",1,"74HC04","C5590"
"U102, ","SO-14_3.9x8.65mm_P1.27mm",1,"74HC08","C5593"
"U103, ","SO-14_3.9x8.65mm_P1.27mm",1,"74HC32","C5632"
"U104, U105, ","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46",2,"DRV8874PWPR","C1855818"
"U106, ","SOT-23-5",1,"LMV321","C7972"
"U201, ","TSOT23-8",1,"MP9942GJ","C118209"
